tenure,warehouse_to_home,num_devices_registered,preferred_order_category,satisfaction_score,marital_status,num_addresses,has_complained,days_since_last_order,cashback_amount,churn,days_missing_flag,tenure_missing_flag,tenure_segment
15,29.0,4,Laptop & Accessory,3,Single,2,0,7,143.32,0,0,0,1-2 years
7,25.0,4,Mobile,1,Married,2,0,7,129.29,0,0,0,7-12 months
27,13.0,3,Laptop & Accessory,1,Married,5,0,7,168.54,0,0,0,2+ years
20,25.0,4,Fashion,3,Divorced,7,0,47,230.27,0,1,0,1-2 years
30,15.0,4,Others,4,Single,8,0,8,322.17,0,0,0,2+ years
7,16.0,4,Mobile Phone,2,Divorced,2,0,11,152.81,0,0,0,7-12 months
1,15.0,6,Mobile Phone,5,Divorced,3,0,2,149.51,0,0,0,1-3 months
1,11.0,4,Mobile Phone,5,Single,3,0,1,154.73,1,0,0,1-3 months
11,12.0,4,Mobile Phone,3,Married,2,0,4,137.02,0,0,0,7-12 months
17,7.0,3,Laptop & Accessory,1,Married,5,1,2,157.43,0,0,0,1-2 years
6,26.0,6,Fashion,3,Married,5,0,47,221.1,0,1,0,4-6 months
16,20.0,2,Laptop & Accessory,5,Married,7,0,1,180.38,0,0,0,1-2 years
1,7.0,4,Mobile Phone,3,Divorced,5,0,3,154.09,1,0,0,1-3 months
1,7.0,5,Fashion,3,Divorced,7,0,47,231.09,1,1,0,1-3 months
6,14.0,3,Laptop & Accessory,5,Married,3,0,2,163.92,0,0,0,4-6 months
10,8.0,4,Laptop & Accessory,3,Single,8,0,1,193.15,0,0,0,7-12 months
0,21.0,5,Mobile,1,Married,1,1,3,121.68,0,0,1,Brand New (0mo)
8,22.0,4,Fashion,2,Divorced,3,0,6,204.78,1,0,0,7-12 months
19,27.0,4,Grocery,1,Married,2,1,11,259.96,0,0,0,1-2 years
0,18.0,1,Mobile,4,Single,2,0,0,127.16,1,0,0,Brand New (0mo)
1,33.0,5,Laptop & Accessory,5,Single,7,0,2,191.96,1,0,0,1-3 months
3,22.0,3,Laptop & Accessory,3,Married,9,0,2,153.01,0,0,0,1-3 months
30,9.0,1,Mobile,5,Married,5,1,0,126.7,0,0,0,2+ years
5,14.0,3,Fashion,1,Single,2,0,7,189.98,0,0,0,4-6 months
9,12.0,4,Fashion,4,Single,2,0,14,205.95,0,0,0,7-12 months
18,26.0,3,Laptop & Accessory,3,Single,9,0,1,148.5,0,0,0,1-2 years
16,17.0,3,Fashion,3,Married,2,0,9,175.1,0,0,0,1-2 years
0,14.0,1,Mobile,3,Single,4,1,3,124.32,1,0,0,Brand New (0mo)
7,6.0,4,Fashion,5,Married,10,0,6,204.82,1,0,0,7-12 months
1,17.0,5,Fashion,5,Married,11,0,47,228.06,1,1,0,1-3 months
12,6.0,1,Fashion,1,Married,1,0,7,196.13,0,0,0,7-12 months
30,11.0,4,Fashion,4,Married,3,1,4,205.52,0,0,0,2+ years
11,17.0,2,Fashion,1,Married,3,1,9,262.44,0,0,0,7-12 months
0,14.0,4,Mobile,4,Divorced,6,0,1,125.46,1,0,0,Brand New (0mo)
0,14.0,4,Mobile,1,Married,6,0,3,123.67,1,0,0,Brand New (0mo)
0,14.0,3,Mobile,5,Married,4,0,0,123.22,0,0,0,Brand New (0mo)
24,31.0,4,Grocery,3,Married,5,1,6,264.73,0,0,0,1-2 years
0,6.0,4,Mobile,5,Married,2,0,2,122.18,0,0,1,Brand New (0mo)
0,9.0,3,Laptop & Accessory,5,Divorced,2,1,3,141.94,0,0,0,Brand New (0mo)
1,7.0,4,Mobile Phone,1,Married,11,1,3,172.87,1,0,0,1-3 months
4,18.0,3,Mobile Phone,1,Married,9,1,2,139.29,0,0,0,4-6 months
18,7.0,4,Fashion,3,Married,4,0,4,207.48,0,0,0,1-2 years
15,7.0,2,Fashion,5,Married,3,0,8,208.92,0,0,0,1-2 years
17,21.0,4,Grocery,5,Married,8,0,1,296.59,0,0,0,1-2 years
0,7.0,4,Mobile,3,Married,2,0,0,120.08,0,0,1,Brand New (0mo)
4,15.0,4,Fashion,3,Married,7,0,8,197.64,0,0,0,4-6 months
5,9.0,4,Mobile Phone,1,Married,2,1,3,151.95,0,0,0,4-6 months
11,17.0,2,Mobile Phone,1,Single,5,0,1,171.8,0,0,0,7-12 months
24,6.0,4,Fashion,5,Single,4,0,8,174.84,0,0,0,1-2 years
0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7,152.96,0,0,0,Brand New (0mo)
3,6.0,3,Laptop & Accessory,1,Single,2,0,7,140.11,0,0,0,1-3 months
61,28.0,4,Grocery,1,Married,6,1,1,303.75,0,0,0,2+ years
16,9.0,4,Fashion,1,Married,4,1,47,226.24,0,1,0,1-2 years
25,10.0,3,Grocery,2,Divorced,3,0,4,265.55,0,0,0,2+ years
9,22.0,4,Laptop & Accessory,5,Married,5,0,2,156.47,0,0,0,7-12 months
8,8.0,4,Laptop & Accessory,1,Married,11,0,2,179.84,0,0,0,7-12 months
8,33.0,5,Mobile Phone,3,Married,3,0,1,145.29,0,0,0,7-12 months
0,14.0,4,Mobile,4,Married,2,0,3,123.68,0,0,0,Brand New (0mo)
17,19.0,5,Grocery,4,Married,3,0,10,268.36,0,0,0,1-2 years
8,26.0,5,Mobile Phone,1,Married,3,0,8,154.29,0,0,0,7-12 months
3,14.0,3,Mobile,1,Single,1,0,7,125.64,0,0,0,1-3 months
0,8.0,3,Laptop & Accessory,3,Single,2,1,4,144.78,0,0,0,Brand New (0mo)
4,32.0,3,Mobile,3,Married,2,0,3,129.11,0,0,0,4-6 months
1,10.0,4,Mobile Phone,5,Married,7,0,3,165.31,1,0,0,1-3 months
1,16.0,4,Mobile Phone,1,Single,3,0,1,135.81,1,0,0,1-3 months
1,31.0,6,Mobile Phone,1,Single,3,1,1,148.4,1,0,0,1-3 months
0,16.0,3,Laptop & Accessory,2,Single,1,0,1,149.5,0,0,0,Brand New (0mo)
1,16.0,3,Laptop & Accessory,3,Single,4,0,7,136.6,0,0,0,1-3 months
13,21.0,4,Fashion,3,Married,2,0,12,204.35,0,0,0,1-2 years
5,12.0,4,Laptop & Accessory,3,Married,3,0,3,208.46,0,0,0,4-6 months
0,14.0,3,Mobile,3,Married,2,0,3,125.17,0,0,0,Brand New (0mo)
15,13.0,4,Fashion,3,Single,3,0,47,217.41,0,1,0,1-2 years
24,14.0,4,Fashion,4,Divorced,6,0,47,224.9,0,1,0,1-2 years
8,16.0,5,Fashion,4,Single,3,0,47,211.21,0,1,0,7-12 months
14,14.0,3,Laptop & Accessory,4,Married,6,0,4,143.93,0,0,0,1-2 years
5,15.0,5,Laptop & Accessory,1,Married,1,0,7,146.68,0,0,0,4-6 months
9,11.0,4,Laptop & Accessory,3,Single,3,1,2,167.49,0,0,0,7-12 months
1,31.0,4,Mobile Phone,2,Divorced,2,0,2,149.0,0,0,0,1-3 months
0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4,163.49,0,0,0,Brand New (0mo)
7,8.0,3,Laptop & Accessory,5,Single,1,1,2,145.38,0,0,0,7-12 months
6,12.0,4,Laptop & Accessory,4,Married,3,0,4,190.24,0,0,0,4-6 months
1,10.0,4,Mobile Phone,1,Single,3,1,1,140.69,1,0,0,1-3 months
9,18.0,4,Fashion,2,Single,1,0,8,188.58,0,0,0,7-12 months
8,11.0,4,Fashion,1,Married,4,1,47,222.13,0,1,0,7-12 months
0,6.0,3,Mobile,1,Married,4,0,2,122.7,0,0,1,Brand New (0mo)
11,22.0,3,Laptop & Accessory,4,Single,3,0,2,141.98,0,0,0,7-12 months
4,10.0,4,Mobile Phone,1,Married,6,0,5,145.97,0,0,0,4-6 months
25,10.0,4,Grocery,4,Single,5,0,1,262.34,0,0,0,2+ years
2,19.0,4,Laptop & Accessory,4,Married,5,1,3,140.25,0,0,0,1-3 months
30,6.0,3,Fashion,2,Divorced,4,1,47,219.04,0,1,0,2+ years
18,10.0,5,Fashion,3,Married,5,0,3,197.56,0,0,0,1-2 years
19,32.0,4,Laptop & Accessory,4,Single,9,0,2,179.91,0,0,0,1-2 years
0,15.0,3,Mobile,1,Married,4,0,3,120.75,0,0,1,Brand New (0mo)
8,23.0,3,Laptop & Accessory,5,Married,4,1,7,189.66,0,0,0,7-12 months
0,30.0,1,Mobile Phone,5,Single,2,0,0,110.91,1,0,0,Brand New (0mo)
8,32.0,3,Fashion,1,Single,2,1,7,188.37,0,0,0,7-12 months
4,15.0,2,Fashion,5,Married,2,1,8,239.16,0,0,0,4-6 months
0,35.0,4,Laptop & Accessory,3,Single,2,0,8,145.08,1,0,0,Brand New (0mo)
2,23.0,4,Fashion,5,Single,2,0,9,179.88,0,0,0,1-3 months
4,8.0,5,Mobile,1,Married,5,1,0,127.78,1,0,0,4-6 months
19,21.0,3,Others,4,Married,6,0,3,290.81,0,0,0,1-2 years
19,14.0,3,Mobile,3,Married,9,0,8,123.39,1,0,0,1-2 years
14,7.0,6,Laptop & Accessory,1,Married,4,1,3,199.57,0,0,0,1-2 years
15,9.0,4,Grocery,5,Divorced,9,0,9,290.95,0,0,0,1-2 years
5,11.0,3,Laptop & Accessory,4,Married,2,0,3,165.24,0,0,0,4-6 months
1,14.0,2,Mobile Phone,5,Single,2,0,8,160.78,0,0,0,1-3 months
8,14.0,3,Mobile,3,Married,2,0,0,124.04,0,0,0,7-12 months
21,11.0,4,Laptop & Accessory,3,Single,5,0,1,154.76,0,0,0,1-2 years
1,7.0,5,Mobile Phone,3,Married,8,1,3,153.0,1,0,0,1-3 months
24,12.0,4,Mobile,3,Single,1,0,7,128.38,0,0,0,1-2 years
14,16.0,3,Laptop & Accessory,1,Single,8,0,10,162.3,0,0,0,1-2 years
13,14.0,3,Mobile,1,Married,9,0,0,124.06,0,0,0,1-2 years
0,10.0,3,Laptop & Accessory,3,Divorced,2,1,3,141.62,0,0,0,Brand New (0mo)
21,10.0,4,Grocery,3,Married,11,1,14,262.7,0,0,0,1-2 years
29,9.0,5,Mobile Phone,1,Married,10,0,5,151.62,0,0,0,2+ years
7,14.0,3,Laptop & Accessory,5,Married,4,0,0,151.21,0,0,0,7-12 months
14,15.0,4,Laptop & Accessory,5,Married,4,1,1,190.16,0,0,0,1-2 years
5,9.0,6,Mobile Phone,1,Married,6,1,1,152.78,1,0,0,4-6 months
5,14.0,5,Mobile Phone,3,Married,5,0,3,148.29,0,0,0,4-6 months
2,15.0,5,Mobile Phone,2,Married,3,0,5,174.36,0,0,0,1-3 months
3,7.0,6,Mobile Phone,2,Married,3,0,9,152.2,0,0,0,1-3 months
0,12.0,3,Mobile Phone,1,Married,2,1,2,56.0,0,0,0,Brand New (0mo)
11,20.0,3,Laptop & Accessory,4,Married,1,0,7,199.24,0,0,0,7-12 months
6,6.0,1,Grocery,3,Married,5,0,5,261.84,0,0,0,4-6 months
2,15.0,5,Mobile Phone,1,Married,3,0,5,174.36,0,0,0,1-3 months
1,9.0,4,Mobile Phone,4,Married,6,0,3,146.87,0,0,0,1-3 months
14,15.0,3,Fashion,3,Married,4,1,7,181.89,0,0,0,1-2 years
3,11.0,4,Mobile Phone,2,Married,10,0,3,137.61,0,0,0,1-3 months
26,9.0,5,Mobile Phone,2,Single,9,0,3,157.12,0,0,0,2+ years
1,20.0,5,Laptop & Accessory,5,Married,7,1,3,186.34,1,0,0,1-3 months
5,16.0,3,Laptop & Accessory,1,Single,9,0,0,146.48,0,0,0,4-6 months
13,14.0,3,Laptop & Accessory,5,Married,3,1,0,165.16,0,0,0,1-2 years
4,8.0,3,Laptop & Accessory,2,Single,5,1,5,165.82,0,0,0,4-6 months
0,14.0,3,Mobile,2,Divorced,1,0,1,124.0,0,0,0,Brand New (0mo)
1,32.0,5,Mobile Phone,4,Single,6,1,3,148.13,1,0,0,1-3 months
