tenure,warehouse_to_home,num_devices_registered,preferred_order_category,satisfaction_score,marital_status,num_addresses,has_complained,days_since_last_order,cashback_amount,tenure_missing_flag,warehouse_missing_flag,days_missing_flag,churn
15,29.0,4,Laptop & Accessory,3,Single,2,0,7,143.32,0,0,0,0
7,25.0,4,Mobile Phone,1,Married,2,0,7,129.29,0,0,0,0
27,13.0,3,Laptop & Accessory,1,Married,5,0,7,168.54,0,0,0,0
20,25.0,4,Fashion,3,Divorced,7,0,3,230.27,0,0,1,0
30,15.0,4,Others,4,Single,8,0,8,322.17,0,0,0,0
7,16.0,4,Mobile Phone,2,Divorced,2,0,11,152.81,0,0,0,0
1,15.0,6,Mobile Phone,5,Divorced,3,0,2,149.51,0,0,0,0
1,11.0,4,Mobile Phone,5,Single,3,0,1,154.73,0,0,0,1
11,12.0,4,Mobile Phone,3,Married,2,0,4,137.02,0,0,0,0
17,7.0,3,Laptop & Accessory,1,Married,5,1,2,157.43,0,0,0,0
6,26.0,6,Fashion,3,Married,5,0,3,221.1,0,0,1,0
16,20.0,2,Laptop & Accessory,5,Married,7,0,1,180.38,0,0,0,0
1,7.0,4,Mobile Phone,3,Divorced,5,0,3,154.09,0,0,0,1
1,7.0,5,Fashion,3,Divorced,7,0,3,231.09,0,0,1,1
6,14.0,3,Laptop & Accessory,5,Married,3,0,2,163.92,0,0,0,0
10,8.0,4,Laptop & Accessory,3,Single,8,0,1,193.15,0,0,0,0
0,21.0,5,Mobile Phone,1,Married,1,1,3,121.68,1,0,0,0
8,22.0,4,Fashion,2,Divorced,3,0,6,204.78,0,0,0,1
19,27.0,4,Grocery,1,Married,2,1,11,259.96,0,0,0,0
0,18.0,1,Mobile Phone,4,Single,2,0,0,127.16,0,0,0,1
1,33.0,5,Laptop & Accessory,5,Single,7,0,2,191.96,0,0,0,1
3,22.0,3,Laptop & Accessory,3,Married,9,0,2,153.01,0,0,0,0
30,9.0,1,Mobile Phone,5,Married,5,1,0,126.7,0,0,0,0
5,14.0,3,Fashion,1,Single,2,0,7,189.98,0,0,0,0
9,12.0,4,Fashion,4,Single,2,0,14,205.95,0,0,0,0
18,26.0,3,Laptop & Accessory,3,Single,9,0,1,148.5,0,0,0,0
16,17.0,3,Fashion,3,Married,2,0,9,175.1,0,0,0,0
0,13.0,1,Mobile Phone,3,Single,4,1,3,124.32,0,1,0,1
7,6.0,4,Fashion,5,Married,10,0,6,204.82,0,0,0,1
1,17.0,5,Fashion,5,Married,11,0,3,228.06,0,0,1,1
12,6.0,1,Fashion,1,Married,1,0,7,196.13,0,0,0,0
30,11.0,4,Fashion,4,Married,3,1,4,205.52,0,0,0,0
11,17.0,2,Fashion,1,Married,3,1,9,262.44,0,0,0,0
0,13.0,4,Mobile Phone,4,Divorced,6,0,1,125.46,0,1,0,1
0,13.0,4,Mobile Phone,1,Married,6,0,3,123.67,0,1,0,1
0,13.0,3,Mobile Phone,5,Married,4,0,0,123.22,0,1,0,0
24,31.0,4,Grocery,3,Married,5,1,6,264.73,0,0,0,0
0,6.0,4,Mobile Phone,5,Married,2,0,2,122.18,1,0,0,0
0,9.0,3,Laptop & Accessory,5,Divorced,2,1,3,141.94,0,0,0,0
1,7.0,4,Mobile Phone,1,Married,11,1,3,172.87,0,0,0,1
4,18.0,3,Mobile Phone,1,Married,9,1,2,139.29,0,0,0,0
18,7.0,4,Fashion,3,Married,4,0,4,207.48,0,0,0,0
15,7.0,2,Fashion,5,Married,3,0,8,208.92,0,0,0,0
17,21.0,4,Grocery,5,Married,8,0,1,296.59,0,0,0,0
0,7.0,4,Mobile Phone,3,Married,2,0,0,120.08,1,0,0,0
4,15.0,4,Fashion,3,Married,7,0,8,197.64,0,0,0,0
5,9.0,4,Mobile Phone,1,Married,2,1,3,151.95,0,0,0,0
11,17.0,2,Mobile Phone,1,Single,5,0,1,171.8,0,0,0,0
24,6.0,4,Fashion,5,Single,4,0,8,174.84,0,0,0,0
0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7,152.96,0,0,0,0
3,6.0,3,Laptop & Accessory,1,Single,2,0,7,140.11,0,0,0,0
61,28.0,4,Grocery,1,Married,6,1,1,303.75,0,0,0,0
16,9.0,4,Fashion,1,Married,4,1,3,226.24,0,0,1,0
25,10.0,3,Grocery,2,Divorced,3,0,4,265.55,0,0,0,0
9,22.0,4,Laptop & Accessory,5,Married,5,0,2,156.47,0,0,0,0
8,8.0,4,Laptop & Accessory,1,Married,11,0,2,179.84,0,0,0,0
8,33.0,5,Mobile Phone,3,Married,3,0,1,145.29,0,0,0,0
0,13.0,4,Mobile Phone,4,Married,2,0,3,123.68,0,1,0,0
17,19.0,5,Grocery,4,Married,3,0,10,268.36,0,0,0,0
8,26.0,5,Mobile Phone,1,Married,3,0,8,154.29,0,0,0,0
3,13.0,3,Mobile Phone,1,Single,1,0,7,125.64,0,1,0,0
0,8.0,3,Laptop & Accessory,3,Single,2,1,4,144.78,0,0,0,0
4,32.0,3,Mobile Phone,3,Married,2,0,3,129.11,0,0,0,0
1,10.0,4,Mobile Phone,5,Married,7,0,3,165.31,0,0,0,1
1,16.0,4,Mobile Phone,1,Single,3,0,1,135.81,0,0,0,1
1,31.0,6,Mobile Phone,1,Single,3,1,1,148.4,0,0,0,1
0,16.0,3,Laptop & Accessory,2,Single,1,0,1,149.5,0,0,0,0
