Feature,Correlation,Priority,dbt_Action
tenure,-0.344,Tier 1,Create lifecycle stages
preferred_order_category_encoded,0.228,Tier 1,Product risk score
has_complained,0.263,Tier 1,Keep as binary flag
marital_status_Single,0.172,Tier 1,Keep as binary flag
marital_status_Married,-0.151,Tier 1,Keep as binary flag
marital_status_Divorced,-0.011,Tier 3,Keep as binary flag
days_since_last_order,-0.143,Tier 1,Create recency bins (U-shape)
cashback_amount,-0.151,Tier 1,Create value tiers
num_devices_registered,0.11,Tier 1,Keep as-is
satisfaction_score,0.099,Tier 2,Use cautiously (paradoxical)
warehouse_missing_flag,0.096,Tier 2,Keep as missing signal flag
tenure_missing_flag,0.081,Tier 2,Keep as missing signal flag
warehouse_to_home,0.066,Tier 2,Keep as-is
num_addresses,0.047,Tier 3,Keep as-is
