tenure,warehouse_to_home,num_devices_registered,satisfaction_score,num_addresses,days_since_last_order,cashback_amount,preferred_order_category,marital_status,has_complained,days_missing_flag,tenure_missing_flag,lifecycle_stage,is_new_customer,is_established,tenure_segment,recency_risk,is_very_recent,is_dormant,is_active_stable,recency_bin,product_risk_category,is_tech_buyer,is_grocery_buyer,is_fashion_buyer,demographic_stability,is_single,is_married,is_divorced,value_tier,cashback_per_month,is_high_value,is_low_spender,composite_risk_score,churn
5,7.0,5,5,3,3,147.18,Mobile Phone,Divorced,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,moderate_risk,0,0,1,low_value,29.435999,0,0,1,0
5,15.0,5,1,1,7,146.68,Laptop & Accessory,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,29.335999,0,0,0,0
5,16.0,3,1,9,0,146.48,Laptop & Accessory,Single,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,unstable_high_risk,1,0,0,low_value,29.296,0,0,1,0
5,15.0,2,4,11,3,146.09,Mobile Phone,Single,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,unstable_high_risk,1,0,0,low_value,29.217999,0,0,2,0
5,12.0,5,5,8,1,146.07,Mobile Phone,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,stable_low_risk,0,1,0,low_value,29.214,0,0,1,1
5,32.0,3,2,1,2,144.65,Laptop & Accessory,Divorced,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,moderate_risk,0,0,1,low_value,28.929998,0,0,0,0
5,19.0,3,2,3,3,144.03,Laptop & Accessory,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,28.806,0,0,0,0
5,19.0,3,1,3,3,144.03,Laptop & Accessory,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,28.806,0,0,0,0
5,7.0,3,5,5,2,140.87,Laptop & Accessory,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,28.174,0,0,0,0
5,6.0,3,5,5,2,140.87,Laptop & Accessory,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,28.174,0,0,0,0
5,8.0,3,4,1,2,140.78,Laptop & Accessory,Married,1,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,low_risk_electronics,0,0,0,stable_low_risk,0,1,0,low_value,28.156,0,0,1,0
5,35.0,3,3,10,7,140.25,Mobile Phone,Single,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,unstable_high_risk,1,0,0,low_value,28.05,0,0,2,0
5,10.0,3,4,3,2,139.31,Mobile Phone,Married,0,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,stable_low_risk,0,1,0,low_value,27.862,0,0,1,0
5,9.0,6,1,3,1,136.29,Mobile Phone,Married,1,0,0,growing_moderate,0,0,4-6 months,recent_new_customer,1,0,0,0-7 days,high_risk_tech,1,0,0,stable_low_risk,0,1,0,low_value,27.258,0,0,2,0
